id,comment
0,gone to work miss me k  leave me love er some shit
0,gone to work... mondays- wednesdays always suck! hope it goes by fast so I can come home to my lovely bed.. tired of bein tired! 
0,gonig to do some homework  not fun. not fun at all.
0,gonig to work in like 20 mins. it upsets me 
0,Gonna attempt to leave my phone in living room on charger and go to sleep alone.  wish me luck!! Night everybody and their momma!!
0,Have to take my 10 yearold German Shepherd to vet tomorrow 
0,Have to take the dog a walk now. And it's raning  boo.
0,Have to throw some of her stuffs. Luggages are too full! 
0,Have to trash all the carpet that was put in 1.5 years ago 
0,Have to wait 3 weeks to find out if I am pregnant or not.. 
0,Have to wait another day to get the album 
0,have to wait for hot water until monday 
0,Have to wait for the maintenance guy today. Pipes in building getting a makeover and bathroom sink went haywire this weekend 
0,"Have to wait til Wednesday to get internet back, they sent us the wrong modem "
0,Have to wait 'till tomorrow to get my iPhone 3G S  They're getting a shipment in around 12 tomorrow.
0,"Have to wait two weeks for my cord  thankfully I had a great experience with Apple support. Thanks, ladies!"
0,have to wait until june 4 to see mtv award cause here in panama didnt transmited tonightt 
0,Have to wear the penalty sombrero for the rest of the afternoon after losing in foosball 
0,have to work 2night 
0,have to work a double today 
0,have to work at budabing's at 8 but i feel miserable 
0,Have to work now... it will be a hard and long day  and then preparing all for the painter on Monday... OMG
0,have to work this arvo 
0,have to work todayy  oh well ill twitter in the back room ilec ilec ilec
0,Have to work tomorrow.. yay me 
0,Have to work until 3am at the bar! Ughh why Im I doing this 
0,Have to write a college application. Then i have to go to spanish. 
0,"Have to write up my case study today and it has to be in tomorrow  god damn twitter made me forget lol, how is everyone?"
0,have too changes in my life 
0,have too many things going on in my life and my mind that I can't seem to get a good nights rest. 
0,have too much on my mind &amp; cant sleep 
0,Have torn the ligaments in my ankle and now walk like a pleb!  xXxc
0,have totally failed one of my chemistry exams 
0,"have tried half an onion, warm oil, pain meds and nothing is helping my little girls sore ear   any hooky-kooky ideas out there??"
0,"Have tried to be nice about it, but that term and &quot;retard&quot; really really hurt sometimes "
0,Have u ever been so high your voice sounds 1000x's louder than it really is...? 
0,Have u ever been spooked so bad u didnt wanna move at all.... that me right now! 
0,"Have u ever done somethin' you thought at the time was right, but afterwards realised u wer dead wrong? "
0,Have u ever realized that something u never imagined u would need is the one thing u want the most now that its gone? 
0,"have u every created an elaborate query from the master database, forget to set the limiter and execute, ARGH....3.8 mil records &amp; cnting "
0,Gonna be a great message at NorthPoint today but I couldn't find my journal this morning. 
0,Gonna be a long day here @ home - Everton lost to Chelsea.  
0,Gonna be a long day. Working until 7.   
0,gonna be all alone tonite   I want my girl to come by
0,Gonna be another hot day! We will have water shortage if it doesn't rain soon 
0,Gonna be hard but Rpattz and I have to quit smoking.    http://bit.ly/90DqI =1
0,gonna be old on monday. 
0,gonna be sooo tired in the morning   i'm craycray
0,gonna call @licokitty later and talk for 10 mins to test if its still taking mins frm my acct to talk to her. it shouldnt!!! but it will. 
0,Gonna call an ear doctor tomorrow. This ringing isn't going away.  Fucking knew that concerts and headphones would get me one day. 
0,gonna change my clothes now xD and I have to study a lot for school 
0,Gonna chill with Tasha. My step mom wouldn't let my sister come with.  poor kidd.
0,"gonna collapse, ugh   Funny how Kimbo Slice is gonna be in the UF.  Can't wait for some sparks B)"
0,gonna cook breakfast and watch the new ep of kings. Cant be too many left 
0,Gonna cry...Remembering Natasha Richardson...and today is Liam Neeson's birthday. 
0,"Gonna die at home tomorrow again. Prolly swimming tomorrow. Saturday have tuition  Sunday, drums and swim. What a boring life i have, god."
0,have updated blog for 1st time in weeks. Should be a bit better now that all playoff action is finished in Boston 4 awhile 
0,"Have updated the blog winningafortune.blogspot.com , not such a good day today "
0,Have vowed to file and clean my back office today so it is no longer a work-comp hazard.  I'd rather do massage though. 
0,Have wayyyy too much homework to do ! 
0,"Have we completely broken the Earth?  Look at all this rain!  This is APRIL weather, not June.    We're gonna have like 2 weeks of Summer."
0,Have we officially skipped summer? I think this is the 10th straight day on RAIN!!! 
0,have work at 5:30 n doesnt want to go 
0,"have work early tomorrow but i can't sleep, lots of things on my mind "
0,Have you ever been in a situation where ur pissed @ someone but the nature of ur relationship doesn't really justify ur anger? I'm there 
0,have you ever fall in love with someone that you know that it's impossible?? i mean that you know that you are never going to meet him? 
