"","topic","recall","precision","fmeasure","accuracy","nexp","npred"
"acq","acq","3.6","16","5.9","88.5","2448","549"
"carcass","carcass","1.3","8.3","2.3","99.7","75","12"
"cocoa","cocoa","2.6","22.2","4.7","99.7","76","9"
"coconut.oil","coconut.oil","14.3","11.1","12.5","99.9","7","9"
"coffee","coffee","0.7","33.3","1.4","99.4","145","3"
"corn","corn","1.6","10.3","2.7","98.8","253","39"
"crude","crude","1.4","18.8","2.6","97.3","634","48"
"dlr","dlr","0.5","12.5","0.9","99.1","217","8"
"earn","earn","23","16.1","19","67.9","3987","5711"
"grain","grain","0.3","33.3","0.6","97.4","628","6"
"interest","interest","0.4","28.6","0.8","97.9","513","7"
"ipi","ipi","1.5","33.3","2.9","99.7","65","3"
"money.fx","money.fx","0.2","28.6","0.5","96.7","801","7"
"money.supply","money.supply","0.5","100","1","99.2","190","1"
"palm.oil","palm.oil","2.3","50","4.4","99.8","43","2"
"ship","ship","0.3","14.3","0.6","98.7","305","7"
"sugar","sugar","1.1","50","2.1","99.2","184","4"
"trade","trade","0.4","50","0.7","97.7","551","4"
"macro.avg","macro.avg","0.5","4.5","0.6","99.4","0","0"
"micro.avg","micro.avg","7.3","16.2","10.1","99.4","0","0"
