194.998,177.819,129.248,
98.6328,108.292,183.893,
193.332,139.981,116.375,
192.627,126.662,78.3173,
160.998,205.824,177.082,
91.6868,136.201,180.83,
114.119,205.206,95.1149,
131.54,122.062,179.94,
174.704,107.686,179.66,
165.965,144.339,179.492,
190.281,167.314,135.817,
190.329,155.141,115.155,
114.558,155.135,179.66,
115.352,155.252,179.94,
178.3,205.206,138.017,
191.486,131.995,170.241,
176.218,124.09,181.439,
93.1659,206.223,166.762,
129.619,206.683,77.198,
183.478,199.5,183.893,
194.998,95.1666,75.6129,
123.098,208.411,71.4746,
140.486,198.932,187.233,
198.09,89.3274,100.622,
142.372,210.64,75.4418,
84.376,208.982,191.358,
174.321,188.966,189.904,
170.788,209.844,114.801,
196.985,132.438,144.832,
132.312,208.411,160.276,
194.998,176.564,134.621,
86.4551,124.723,183.893,
111.479,206.683,147.2,
192.627,145.456,114.678,
150.628,198.195,181.439,
101.577,168.06,180.83,
93.7496,100.289,180.33,
152.607,115.056,179.94,
124.428,204.834,179.111,
167.23,161.288,179.492,
171.941,148.101,179.436,
105.417,204.741,121.782,
190.475,162.6,151.444,
135.468,204.989,116.479,
191.054,154.533,109.438,
119.11,99.356,180.83,
111.746,205.824,102.081,
192.627,110.933,157.437,
193.332,117.261,154.434,
111.474,207.201,77.1173,
93.1804,205.731,161.048,
190.958,163.332,120.393,
190.135,143.187,109.643,
189.403,187.065,84.6367,
111.991,166.546,177.685,
188.218,122.397,166.274,
187.77,124.612,159.282,
182.122,202.894,159.413,
187.17,136.262,134.744,
187.019,181.009,90.9399,
137.49,121.042,175.623,
187.019,139.997,142.813,
132.831,202.736,138.168,
187.42,113.223,80.3203,
120.629,203.114,157.462,
97.3686,203.397,107.072,
107.192,203.742,135.756,
129.92,204.149,171.59,
190.135,163.283,86.9945,
89.7224,205.144,97.9352,
106.637,205.731,91.2794,
151.602,206.377,136.995,
193.937,172.14,161.788,
195.089,185.331,76.861,
89.3812,208.652,126.987,
85.23,200.074,187.96,
163.746,208.652,172.223,
195.089,106.608,176.473,
93.6996,207.08,136.968,
115.646,206.377,81.9095,
191.868,115.605,83.3451,
190.958,146.282,173.994,
190.135,173.015,102.991,
111.401,204.149,178.365,
188.763,186.855,143.729,
133.774,203.397,176.009,
175.606,203.114,139.334,
166.56,199.909,176.142,
179.672,149.718,175.854,
156.48,202.641,104.739,
186.969,201.625,102.66,
187.019,186.483,169.48,
184.781,202.736,105.429,
133.423,166.478,176.142,
